,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
61,0.585,0.819,6,-8.028,1,0.0512,0.00168,0.798,0.0761,0.187,102.973,1,508.144
62,0.493,0.741,4,-8.806,0,0.0364,0.106,0.835,0.0696,0.681,104.012,3,167.674
63,0.722,0.443,9,-9.001,1,0.0472,0.347,0.279,0.101,0.293,116.028,3,280.576
64,0.291,0.935,2,-4.681,1,0.0803,5.56e-05,0.628,0.791,0.15,104.802,3,285.96
65,0.552,0.714,6,-8.568,0,0.0286,0.0595,0.565,0.156,0.448,115.396,4,218.868
66,0.284,0.635,4,-10.128,1,0.0481,0.037,0.327,0.386,0.0767,130.811,4,372.445
67,0.35,0.946,7,-4.966,1,0.0578,0.000164,0.332,0.318,0.341,131.827,5,311.34
68,0.355,0.647,2,-9.956,1,0.0437,0.422,0.103,0.29,0.198,45.947,4,60.76
69,0.249,0.874,4,-6.627,1,0.0839,0.18,6.7e-05,0.416,0.464,177.006,3,196.027
70,0.638,0.831,11,-8.134,1,0.0373,0.0466,0.0304,0.417,0.905,165.037,3,341.662
71,0.56,0.715,7,-7.937,1,0.0313,0.00687,0.915,0.0745,0.767,126.331,4,228.36
72,0.459,0.527,0,-12.218,1,0.0304,0.758,0.782,0.375,0.278,110.008,3,205.653
73,0.708,0.903,9,-6.214,0,0.0748,0.0057,0.00761,0.138,0.687,101.107,4,185.526
74,0.3,0.816,10,-6.2,0,0.034,0.0012,0.525,0.219,0.341,170.051,4,217.44
75,0.233,0.904,1,-5.759,1,0.0687,0.000426,0.4,0.248,0.357,81.608,4,200.587
76,0.403,0.752,9,-7.026,0,0.037,0.313,0.00134,0.48,0.355,157.07,3,202.72
77,0.375,0.661,6,-7.113,0,0.0362,2.29e-05,0.0135,0.23,0.512,91.611,4,209.804
78,0.517,0.888,8,-6.922,1,0.0622,0.0992,0.00292,0.277,0.765,132.988,4,209.013
79,0.465,0.988,9,-5.301,1,0.11,0.00565,0.198,0.86,0.315,97.92,4,322.171
80,0.362,0.841,6,-9.227,0,0.0408,0.00443,0.769,0.184,0.523,102.175,4,213.925
81,0.297,0.814,5,-4.197,1,0.0416,0.176,0.338,0.333,0.484,95.534,4,401.197
82,0.51,0.865,1,-6.365,1,0.133,0.00667,0.242,0.14,0.443,114.746,4,225.661
83,0.529,0.491,1,-6.249,0,0.193,0.154,0.1,0.136,0.54,113.996,1,276.893
84,0.238,0.679,8,-9.188,0,0.0382,0.0307,0.0711,0.159,0.333,179.085,1,337.068
85,0.364,0.85,2,-4.149,1,0.0554,0.0589,0.00855,0.604,0.498,101.205,3,134.533
86,0.188,0.942,2,-4.706,1,0.191,0.000505,0.62,0.39,0.231,179.248,4,1097.013
87,0.432,0.754,11,-7.225,0,0.0347,0.013,0.0348,0.292,0.378,170.635,1,99.44
88,0.674,0.884,1,-6.062,1,0.0988,0.0203,0.489,0.109,0.916,101.062,4,192.961
89,0.359,0.727,6,-7.252,0,0.0433,0.147,0.0299,0.0711,0.578,97.659,4,644.256
90,0.638,0.774,0,-5.612,1,0.0354,0.051,0.0171,0.629,0.871,134.011,4,176.81
91,0.695,0.851,8,-4.002,1,0.0469,0.347,0.00156,0.0541,0.768,85.068,4,455.684
92,0.567,0.929,11,-5.901,0,0.0536,0.00288,0.615,0.114,0.714,139.999,5,219.957
93,0.34,0.682,6,-10.735,0,0.0373,0.00547,0.78,0.303,0.673,96.299,4,235.711
94,0.407,0.899,2,-6.238,1,0.115,0.0011,0.269,0.126,0.142,115.005,4,159.08
95,0.62,0.618,11,-7.48,0,0.045,0.308,0.198,0.131,0.935,165.248,4,172.211
96,0.521,0.902,11,-6.876,0,0.0469,0.0106,0.497,0.866,0.669,141.223,4,299.093
97,0.548,0.963,5,-4.32,1,0.0554,0.269,0.00494,0.104,0.856,110.352,4,615.939
98,0.376,0.91,9,-6.998,0,0.106,0.00619,0.778,0.662,0.367,96.803,4,220.76
